date,patch,matchtype,matchnum,team,side,victorydefeat,time,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,summoner,role,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute,visionscoreperhour
2021-01-04,10.25,scrim,2,lindenwood university,blue,defeat,39:01,4,0,1,3,0,bricktps,support,Thresh,0,7,11,0,0,0,4.2,0.2,4,0,18.2,5.1,8.2,4.9,0,2.2,0.3,2,20.3,9.7,9.3,1.3,28,17,0,4,8,7.5,46,0,0,0,1.571428571,0.611111111,0.6,0.045602606,0.525,-1.2,4,1.18,75.35
2021-01-04,10.25,scrim,2,university of puget sound,red,victory,39:01,8,1,1,3,1,cbhong,top,Malphite,3,7,17,2,1,0,18,2.5,14.8,0.7,136.5,37.1,87.1,12.3,0,7.9,1.9,2.4,23.4,11.5,11.5,0.4,12,2,0,0,12.1,12,187,0,0,0,2.857142857,0.64516129,2.571428571,0.152931181,1.487603306,-3.1,-43,4.79,21.53
2021-01-04,10.25,scrim,2,university of puget sound,red,victory,39:01,8,1,1,3,1,Nînes,jungle,Amumu,9,3,17,5,3,0,24.8,1.4,20.5,2.9,193.4,27.1,144.8,21.5,0,15.2,1.2,17,40.3,26.1,13.9,0.3,4,3,0,3,15,13.7,21,187,138,0,8.666666667,0.838709677,8.266666667,0.210705183,1.653333333,2,24,5.33,15.38
2021-01-04,10.25,scrim,2,university of puget sound,red,victory,39:01,8,1,1,3,1,WayOfTheHunter,mid,Yasuo,9,3,14,4,1,0,25.1,22.5,1.9,0.7,279.5,240.5,17.8,21.2,1282,25.2,5.8,10.4,26.9,19.1,7.5,0.3,16,5,0,6,17.1,15.4,270,27,5,11,7.666666667,0.741935484,8.366666667,0.213254036,1.467836257,2.5,36,7.61,41.52
2021-01-04,10.25,scrim,2,university of puget sound,red,victory,39:01,8,1,1,3,1,Sudakaa,adc,Kai'Sa,9,2,19,6,3,0,44.9,22,15.4,7.5,290.4,231.6,36.5,22.4,714,17.4,6.4,8.9,18.2,11.2,7,0.1,15,5,0,4,18.2,16.3,289,50,35,8,14,0.903225806,22.45,0.381478335,2.467032967,5,47,8.69,36.91
2021-01-04,10.25,scrim,2,university of puget sound,red,victory,39:01,8,1,1,3,1,Megabucks,support,Leona,1,3,23,1,1,0,4.9,0.9,3.4,0.6,15.1,4.2,5.1,5.8,0,1.2,0.7,2.5,19.5,9.3,9.5,0.6,42,20,0,9,9.2,8,42,0,0,0,8,0.774193548,1.633333333,0.041631266,0.532608696,1.2,-4,1.08,109.18
2021-01-06,10.25,scrim,1,unknown,blue,victory,27:30,10,2,1,2,2,MythicalMyth,top,Kennen,9,0,3,9,2,0,24.3,2.4,21.3,0.7,167.8,24.7,136.7,6.4,0,13.7,8.8,1.8,10,7.4,2,0.6,9,2,0,1,13.7,12.2,204,24,16,4,#DIV/0!,0.571428571,#DIV/0!,0.423344948,1.773722628,4.7,43,8.29,26.18
2021-01-06,10.25,scrim,1,unknown,blue,victory,27:30,10,2,1,2,2,JustMemeIt,jungle,Gragas,4,3,7,2,2,0,9.2,1.4,7.3,0.5,111.2,19.8,81,10.4,0,16.3,1.2,13.4,23,18.5,4.2,0.3,8,5,0,0,9.9,8.6,18,96,63,16,3.666666667,0.523809524,3.066666667,0.160278746,0.929292929,3.3,11,4.15,28.36
2021-01-06,10.25,scrim,1,unknown,blue,victory,27:30,10,2,1,2,2,DonClemmy,mid,Lucian,8,2,1,8,2,0,16.3,13.8,0.6,1.9,193.8,174.2,3.5,16.1,997,20,9.6,4.7,12,8.8,3.1,0.2,12,4,0,4,13.6,11.6,247,16,0,12,4.5,0.428571429,8.15,0.283972125,1.198529412,5.2,82,9.56,43.64
2021-01-06,10.25,scrim,1,unknown,blue,victory,27:30,10,2,1,2,2,ResurrecTióN,adc,Ezreal,0,0,4,0,0,0,5.4,4,1.4,0,140.2,118.3,11.5,10.3,0,19.4,0.8,0.4,9.7,7.4,2.2,0.1,7,1,0,0,10.3,8.7,182,56,21,8,#DIV/0!,0.19047619,#DIV/0!,0.094076655,0.524271845,0.6,9,8.65,17.45
2021-01-06,10.25,scrim,1,unknown,blue,victory,27:30,10,2,1,2,2,Shampoo Bracelet,support,Leona,0,1,7,0,0,0,2.2,0.7,1,0.5,14.5,6.5,2.1,5.9,0,3.7,0.4,0.3,9.5,7.6,1.6,0.3,22,10,0,6,6.7,6.2,28,0,0,0,7,0.333333333,2.2,0.038327526,0.328358209,1.6,2,1.02,82.91
2021-01-06,10.25,scrim,1,lindenwood university,red,defeat,27:30,0,0,0,2,0,LoL Coach Sam,top,Wukong,1,2,2,1,1,0,4,3.1,0.8,0,79.6,58,19.3,2.3,0,3.7,0,2.5,20.4,9.4,9.9,1.1,8,5,0,7,9,9,181,4,1,0,1.5,0.5,2,0.127795527,0.444444444,-4.7,-43,6.73,43.64
2021-01-06,10.25,scrim,1,lindenwood university,red,defeat,27:30,0,0,0,2,0,Litning Drincer,jungle,Rek'Sai,1,8,3,1,1,0,5.7,4.5,0,1.1,95.3,76.9,8.4,9.9,0,7,0,12.3,29,17.5,10.5,1,8,4,0,3,6.6,6.3,8,95,74,4,0.5,0.666666667,0.7125,0.182108626,0.863636364,-3.3,-11,3.75,32.73
2021-01-06,10.25,scrim,1,lindenwood university,red,defeat,27:30,0,0,0,2,0,VinaZz VI,mid,Seraphine,2,4,3,2,1,0,5.2,0.4,4.8,0,103.4,9.9,93.3,0.2,0,0,0,1.2,9.2,5.4,3.5,0.3,10,1,0,2,8.4,8.4,173,8,8,0,1.25,0.833333333,1.3,0.166134185,0.619047619,-5.2,-82,6.58,28.36
2021-01-06,10.25,scrim,1,lindenwood university,red,defeat,27:30,0,0,0,2,0,MoonJuices,adc,Sivir,2,4,2,2,1,1,11.7,11.4,0.3,0,126.7,126.4,0.3,0,417,4.7,0.8,2.8,13.3,7.6,4.9,0.8,14,0,0,5,9.7,8.9,225,4,0,0,1,0.666666667,2.925,0.373801917,1.206185567,-0.6,-9,8.33,41.45
2021-01-06,10.25,scrim,1,lindenwood university,red,defeat,27:30,0,0,0,2,0,bricktps,support,Morgana,0,3,4,0,0,0,4.7,0.3,4,0.3,14.2,3.8,6,4.5,0,1.1,0,1.5,10.1,5,4.8,0.3,6,3,0,1,5.1,5.1,26,0,0,0,1.333333333,0.666666667,1.566666667,0.150159744,0.921568627,-1.6,-2,0.95,21.82
2021-01-06,10.25,scrim,2,lindenwood university,blue,victory,41:11,11,2,2,3,1,LoL Coach Sam,top,Wukong,4,2,9,3,1,0,20,15.6,4.1,0.3,200.9,164.9,32.7,3.3,0,15.3,5.3,13,33.3,22.1,9.3,1.9,19,4,0,13,15.8,15.7,259,8,4,4,6.5,0.30952381,10,0.138600139,1.265822785,1.4,-6,6.48,52.45
